original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
"Artificial general intelligence (AGI) will demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming.","Artificial general intelligence (AGI) will not demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming.","Artificial general intelligence (AGI) will demonstrate an ability to learn and understand any intellectual task that a human being can, without requiring specific task-oriented programming, and will do so with a level of efficiency that surpasses human capabilities.",Artificial general intelligence (AGI) will demonstrate an ability to learn and understand various intellectual tasks.,0.78,0.71,0.42000000000000004,0.8700000000000001,"[0.7, 0.9, 0.75, 0.85, 0.7]","[0.7, 0.7, 0.7, 0.7, 0.75]","[0.5, 0.2, 0.4, 0.6, 0.4]","[0.8, 0.8, 0.9, 0.95, 0.9]"
Vincent van Gogh sold only one painting during his lifetime.,Vincent van Gogh did not sell only one painting during his lifetime.,Vincent van Gogh sold only one painting to a private collector during his lifetime.,Vincent van Gogh sold some paintings during his lifetime.,0.8799999999999999,0.78,0.9099999999999999,0.86,"[0.9, 0.85, 0.9, 0.9, 0.85]","[0.75, 0.85, 0.7, 0.75, 0.85]","[0.95, 0.9, 0.9, 0.9, 0.9]","[0.85, 0.85, 0.8, 0.9, 0.9]"
Coffee consumption reduces the risk of developing Parkinson's disease.,Coffee consumption does not reduce the risk of developing Parkinson's disease.,Regular coffee consumption of at least three cups per day reduces the risk of developing Parkinson's disease.,Coffee consumption reduces the risk of developing certain diseases.,0.74,0.38,0.71,0.7300000000000001,"[0.7, 0.75, 0.75, 0.7, 0.8]","[0.3, 0.4, 0.4, 0.4, 0.4]","[0.75, 0.7, 0.7, 0.7, 0.7]","[0.75, 0.7, 0.75, 0.7, 0.75]"
Venus has active volcanoes on its surface.,Venus does not have active volcanoes on its surface.,Venus has multiple active volcanoes on its surface that erupt at least once every few decades.,Venus has geological activity on its surface.,0.7899999999999999,0.52,0.79,0.8399999999999999,"[0.7, 0.8, 0.8, 0.8, 0.85]","[0.5, 0.7, 0.5, 0.5, 0.4]","[0.8, 0.75, 0.75, 0.85, 0.8]","[0.85, 0.85, 0.85, 0.8, 0.85]"
Caffeine significantly contributes to chronic migraines.,Caffeine does not significantly contribute to chronic migraines.,Caffeine significantly contributes to chronic migraines in individuals who consume more than 400 mg per day.,Caffeine contributes to migraines.,0.61,0.52,0.71,0.7300000000000001,"[0.6, 0.6, 0.6, 0.65, 0.6]","[0.5, 0.6, 0.5, 0.6, 0.4]","[0.7, 0.75, 0.7, 0.7, 0.7]","[0.7, 0.75, 0.75, 0.75, 0.7]"
There is a genetic basis for intelligence that operates independently of socio-economic factors.,There is no genetic basis for intelligence that operates independently of socio-economic factors.,There is a genetic basis for intelligence that operates independently of socio-economic factors in at least 90% of individuals.,There is a genetic basis for intelligence.,0.65,0.5,0.32,0.85,"[0.6, 0.65, 0.6, 0.7, 0.7]","[0.5, 0.4, 0.5, 0.6, 0.5]","[0.2, 0.3, 0.3, 0.4, 0.4]","[0.85, 0.85, 0.85, 0.85, 0.85]"
There is water in liquid form under the surface of Mars.,There is not water in liquid form under the surface of Mars.,There is liquid water in significant quantities under the surface of Mars.,There is water in some form under the surface of Mars.,0.48,0.5800000000000001,0.58,0.93,"[0.4, 0.5, 0.6, 0.5, 0.4]","[0.6, 0.6, 0.4, 0.6, 0.7]","[0.7, 0.5, 0.5, 0.6, 0.6]","[0.9, 0.9, 0.95, 0.95, 0.95]"
The largest dinosaur was blue.,The largest dinosaur was not blue.,The largest dinosaur was a blue sauropod species.,The largest dinosaur was a color.,0.01,0.8800000000000001,0.12999999999999998,0.0,"[0.0, 0.0, 0.05, 0.0, 0.0]","[0.9, 0.85, 0.85, 0.85, 0.95]","[0.05, 0.2, 0.1, 0.1, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0]"
The Viking presence in North America extended beyond the site at L'Anse aux Meadows.,The Viking presence in North America did not extend beyond the site at L'Anse aux Meadows.,The Viking presence in North America extended beyond the site at L'Anse aux Meadows to multiple undiscovered settlements along the northeastern coast.,The Viking presence in North America extended to at least one other site.,0.72,0.7,0.41000000000000003,0.8400000000000001,"[0.7, 0.75, 0.7, 0.7, 0.75]","[0.7, 0.7, 0.7, 0.7, 0.7]","[0.4, 0.4, 0.5, 0.4, 0.35]","[0.9, 0.85, 0.85, 0.85, 0.75]"
More than half of all known species have not yet been discovered by scientists.,More than half of all known species have been discovered by scientists.,More than three-quarters of all known species have not yet been discovered by scientists.,Many species have not yet been discovered by scientists.,0.73,0.26,0.6799999999999999,0.95,"[0.7, 0.7, 0.7, 0.7, 0.85]","[0.3, 0.3, 0.2, 0.3, 0.2]","[0.6, 0.7, 0.7, 0.65, 0.75]","[0.95, 0.95, 0.95, 0.95, 0.95]"
"Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, did not directly influence Alfred Nobel's decision to create the Nobel Peace Prize.","Bertha von Suttner, a 19th-century peace activist and author, directly influenced Alfred Nobel's decision to create the Nobel Peace Prize through her personal correspondence with him.","Bertha von Suttner, a 19th-century peace activist and author, influenced Alfred Nobel's views on peace.",0.85,0.32,0.85,0.95,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.4, 0.3, 0.2, 0.3, 0.4]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.95, 0.95, 0.95, 0.95, 0.95]"
The majority of global internet users access the internet via mobile devices.,The majority of global internet users do not access the internet via mobile devices.,The majority of global internet users access the internet via mobile devices in urban areas.,Many global internet users access the internet via mobile devices.,0.8699999999999999,0.01,0.85,0.95,"[0.85, 0.85, 0.9, 0.9, 0.85]","[0.0, 0.0, 0.05, 0.0, 0.0]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.95, 0.95, 0.95, 0.95, 0.95]"
"The capacity to create quantum computers that outperform classical supercomputers in solving specific, practically relevant problems will be achieved within the next decade.","The capacity to create quantum computers that outperform classical supercomputers in solving specific, practically relevant problems will not be achieved within the next decade.","The capacity to create quantum computers that outperform classical supercomputers in solving specific, practically relevant problems will be achieved within the next five years.",The capacity to create quantum computers that outperform classical supercomputers in solving problems will be achieved in the future.,0.63,0.6599999999999999,0.48,0.7699999999999999,"[0.6, 0.6, 0.6, 0.7, 0.65]","[0.7, 0.6, 0.7, 0.65, 0.65]","[0.4, 0.6, 0.4, 0.4, 0.6]","[0.8, 0.75, 0.75, 0.75, 0.8]"
Dark matter consists of axions.,Dark matter does not consist of axions.,Dark matter consists primarily of axions with a mass between 10^-6 eV and 10^-3 eV.,Dark matter consists of some type of particle.,0.22999999999999998,0.5,0.3,0.7,"[0.25, 0.2, 0.3, 0.2, 0.2]","[0.5, 0.5, 0.6, 0.4, 0.5]","[0.3, 0.4, 0.3, 0.2, 0.3]","[0.7, 0.7, 0.7, 0.7, 0.7]"
The painting in your living room is an original piece by a renowned artist.,The painting in your living room is not an original piece by a renowned artist.,The painting in your living room is an original piece by a renowned artist from the 19th century.,The painting in your living room is a piece by an artist.,0.5,0.54,0.36,0.9199999999999999,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.7, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.2, 0.1]","[0.9, 0.95, 0.95, 0.95, 0.85]"
"Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt did not bear Julius Caesar a son, named Caesarion.","Cleopatra VII of Egypt bore Julius Caesar a son, named Caesarion, during their time in Rome.",Cleopatra VII of Egypt had a child with Julius Caesar.,0.95,0.0,0.8300000000000001,0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.8, 0.8, 0.9, 0.85, 0.8]","[0.95, 0.95, 0.95, 0.95, 0.95]"
Eating a diet high in processed foods increases the risk of developing type 2 diabetes.,Eating a diet high in processed foods does not increase the risk of developing type 2 diabetes.,Eating a diet high in processed foods significantly increases the risk of developing type 2 diabetes in individuals over the age of 40.,Eating a diet high in processed foods increases the risk of developing health issues.,0.85,0.08,0.8400000000000001,0.86,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.1, 0.05, 0.05, 0.1, 0.1]","[0.85, 0.85, 0.85, 0.85, 0.8]","[0.85, 0.85, 0.85, 0.85, 0.9]"
Alexander the Great's death was likely due to natural causes rather than poisoning.,Alexander the Great's death was not likely due to natural causes rather than poisoning.,"Alexander the Great's death was likely due to natural causes rather than poisoning, specifically due to a fever caused by malaria.",Alexander the Great's death was likely due to natural causes.,0.7,0.53,0.64,0.7,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.6, 0.4, 0.6, 0.5, 0.55]","[0.7, 0.6, 0.6, 0.6, 0.7]","[0.7, 0.7, 0.7, 0.7, 0.7]"
The Viking civilization had contact with the Native Americans before Christopher Columbus did.,The Viking civilization did not have contact with the Native Americans before Christopher Columbus did.,The Viking civilization had contact with the Native Americans at least 100 years before Christopher Columbus did.,The Viking civilization had contact with the Native Americans.,0.95,0.0,0.9400000000000001,0.8699999999999999,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.95, 0.95, 0.9, 0.95, 0.95]","[0.85, 0.85, 0.85, 0.9, 0.9]"
"The Lost Colony of Roanoke relocated to join a nearby Native American tribe, integrating with them.","The Lost Colony of Roanoke did not relocate to join a nearby Native American tribe, integrating with them.","The Lost Colony of Roanoke relocated to join a specific nearby Native American tribe, the Croatan, integrating with them and adopting their customs.",The Lost Colony of Roanoke may have relocated to join a nearby Native American tribe.,0.34,0.52,0.25,0.67,"[0.3, 0.4, 0.4, 0.2, 0.4]","[0.6, 0.5, 0.5, 0.5, 0.5]","[0.3, 0.3, 0.25, 0.2, 0.2]","[0.6, 0.7, 0.7, 0.75, 0.6]"
Most human cancers involve some alteration in the p53 gene.,Most human cancers do not involve any alteration in the p53 gene.,Almost all human cancers involve a specific mutation in the p53 gene.,Some human cancers involve an alteration in the p53 gene.,0.8800000000000001,0.33999999999999997,0.71,1.0,"[0.9, 0.85, 0.85, 0.9, 0.9]","[0.3, 0.3, 0.4, 0.4, 0.3]","[0.7, 0.7, 0.75, 0.7, 0.7]","[1.0, 1.0, 1.0, 1.0, 1.0]"
"Vincent van Gogh's ear was cut off by fellow artist Paul Gauguin, not by van Gogh himself.","""Vincent van Gogh's ear was not cut off by fellow artist Paul Gauguin, but by van Gogh himself.""","Vincent van Gogh's ear was cut off by fellow artist Paul Gauguin during a heated argument, not by van Gogh himself.",Vincent van Gogh's ear was cut off by another person.,0.34,0.8400000000000001,0.24,0.15999999999999998,"[0.4, 0.2, 0.3, 0.4, 0.4]","[0.85, 0.85, 0.8, 0.85, 0.85]","[0.3, 0.2, 0.3, 0.2, 0.2]","[0.1, 0.2, 0.2, 0.2, 0.1]"
Twins have a higher threshold for pain compared to non-twins.,Twins do not have a higher threshold for pain compared to non-twins.,Identical twins have a higher threshold for pain compared to non-twin siblings.,Twins have a different threshold for pain compared to non-twins.,0.26,0.6799999999999999,0.34,0.33,"[0.3, 0.3, 0.2, 0.2, 0.3]","[0.6, 0.7, 0.7, 0.7, 0.7]","[0.5, 0.3, 0.3, 0.3, 0.3]","[0.3, 0.4, 0.25, 0.4, 0.3]"
Most people have over 100 friends on social media.,Most people do not have over 100 friends on social media.,"Most people have over 100 friends on social media, with at least 50 of them being active users.",Most people have friends on social media.,0.7300000000000001,0.30999999999999994,0.6100000000000001,0.85,"[0.7, 0.75, 0.75, 0.75, 0.7]","[0.3, 0.3, 0.25, 0.3, 0.4]","[0.6, 0.6, 0.65, 0.6, 0.6]","[0.85, 0.85, 0.85, 0.85, 0.85]"
The Mona Lisa was created using oils derived exclusively from walnut and linseed trees.,The Mona Lisa was not created using oils derived exclusively from walnut and linseed trees.,"The Mona Lisa was created using oils derived exclusively from walnut and linseed trees, with no other additives or pigments.",The Mona Lisa was created using oils derived from various sources.,0.6699999999999999,0.8,0.09,0.93,"[0.75, 0.6, 0.7, 0.6, 0.7]","[0.85, 0.8, 0.8, 0.75, 0.8]","[0.2, 0.05, 0.05, 0.05, 0.1]","[0.95, 0.95, 0.9, 0.95, 0.9]"
"Leif Erikson was the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was not the first European to set foot on North America, before Christopher Columbus.","Leif Erikson was the first European to set foot on North America, specifically in Newfoundland, at least 500 years before Christopher Columbus.",Leif Erikson was one of the early Europeans to set foot on North America.,0.9099999999999999,0.8600000000000001,0.9299999999999999,0.95,"[0.85, 0.9, 0.95, 0.9, 0.95]","[0.9, 0.9, 0.9, 0.7, 0.9]","[0.95, 0.95, 0.9, 0.9, 0.95]","[0.95, 0.95, 0.95, 0.95, 0.95]"
The assassination of Julius Caesar in 44 B.C. was primarily motivated by a group of senators who feared he was becoming too powerful and aimed to restore the Republic.,The assassination of Julius Caesar in 44 B.C. was not primarily motivated by a group of senators who feared he was becoming too powerful and did not aim to restore the Republic.,"The assassination of Julius Caesar in 44 B.C. was primarily motivated by a specific group of senators, including Brutus and Cassius, who feared he was becoming too powerful and aimed to restore the Republic to its original form as it existed before his rise.",The assassination of Julius Caesar in 44 B.C. was motivated by a group of senators who feared he was becoming too powerful.,0.95,0.0,0.9199999999999999,0.95,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.95, 0.95, 0.9, 0.9, 0.9]","[0.95, 0.95, 0.95, 0.95, 0.95]"
Aliens exist in our galaxy.,Aliens do not exist in our galaxy.,Intelligent aliens exist in our galaxy.,Aliens exist.,0.5,0.12000000000000002,0.5,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]","[0.1, 0.1, 0.1, 0.1, 0.2]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]"
Most people prefer dogs over cats.,Most people do not prefer dogs over cats.,Most people prefer large dog breeds over cats.,Some people prefer dogs over cats.,0.6,0.5,0.38,0.95,"[0.6, 0.6, 0.6, 0.6, 0.6]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.3, 0.4, 0.4, 0.4, 0.4]","[0.95, 0.95, 0.95, 0.95, 0.95]"
Neanderthals have the ability to speak like modern humans.,Neanderthals do not have the ability to speak like modern humans.,Neanderthals have the ability to speak with a vocabulary comparable to that of modern humans.,Neanderthals have some form of communication.,0.5599999999999999,0.61,0.36000000000000004,0.85,"[0.6, 0.6, 0.6, 0.5, 0.5]","[0.6, 0.6, 0.6, 0.6, 0.65]","[0.4, 0.3, 0.4, 0.3, 0.4]","[0.85, 0.85, 0.85, 0.85, 0.85]"
Leonardo da Vinci was ambidextrous.,Leonardo da Vinci was not ambidextrous.,Leonardo da Vinci was ambidextrous and could write with one hand while drawing with the other simultaneously.,Leonardo da Vinci was skilled with both hands.,0.85,0.16,0.76,0.82,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.2, 0.2, 0.2, 0.1, 0.1]","[0.85, 0.7, 0.8, 0.7, 0.75]","[0.8, 0.85, 0.85, 0.8, 0.8]"
Julius Caesar was assassinated primarily because of his policies rather than personal jealousy among the senators.,Julius Caesar was not assassinated primarily because of his policies rather than personal jealousy among the senators.,"Julius Caesar was assassinated primarily because of his controversial policies regarding land reform and debt relief, rather than personal jealousy among the senators.",Julius Caesar was assassinated for various reasons.,0.6,0.56,0.65,0.95,"[0.6, 0.6, 0.6, 0.6, 0.6]","[0.6, 0.6, 0.5, 0.5, 0.6]","[0.7, 0.6, 0.6, 0.65, 0.7]","[0.95, 0.95, 0.95, 0.95, 0.95]"
The Roman Empire officially ended in the West with the abdication of Romulus Augustulus in 476 AD.,The Roman Empire did not officially end in the West with the abdication of Romulus Augustulus in 476 AD.,"The Roman Empire officially ended in the West with the abdication of Romulus Augustulus in 476 AD, marking the definitive fall of Roman political authority in Italy.",The Roman Empire officially ended in the West.,0.95,0.7300000000000001,0.9199999999999999,0.96,"[0.95, 0.95, 0.95, 0.95, 0.95]","[0.7, 0.7, 0.8, 0.7, 0.75]","[0.9, 0.95, 0.9, 0.9, 0.95]","[0.95, 0.95, 0.95, 1.0, 0.95]"
The primary language spoken in the home of a randomly selected person from Canada is English.,The primary language spoken in the home of a randomly selected person from Canada is not English.,"The primary language spoken in the home of a randomly selected person from Canada is English, and they are not bilingual.",The primary language spoken in the home of a randomly selected person from Canada is a language other than French.,0.64,0.4,0.4699999999999999,0.8699999999999999,"[0.6, 0.6, 0.6, 0.7, 0.7]","[0.4, 0.4, 0.4, 0.4, 0.4]","[0.6, 0.4, 0.4, 0.45, 0.5]","[0.9, 0.9, 0.85, 0.9, 0.8]"
The multiverse theory is a correct explanation for quantum physics anomalies.,The multiverse theory is not a correct explanation for quantum physics anomalies.,The multiverse theory is the only correct explanation for all quantum physics anomalies.,The multiverse theory is a possible explanation for quantum physics anomalies.,0.26999999999999996,0.5,0.1,0.76,"[0.3, 0.3, 0.3, 0.2, 0.25]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.1, 0.1, 0.1, 0.1, 0.1]","[0.75, 0.75, 0.8, 0.75, 0.75]"
There is an unknown species of mammal living in the Amazon rainforest.,There is not an unknown species of mammal living in the Amazon rainforest.,There is an unknown species of mammal living in the Amazon rainforest that has not been observed by any researchers.,There is a species of mammal living in the Amazon rainforest.,0.76,0.32,0.71,1.0,"[0.7, 0.75, 0.7, 0.8, 0.85]","[0.4, 0.3, 0.3, 0.3, 0.3]","[0.7, 0.7, 0.75, 0.7, 0.7]","[1.0, 1.0, 1.0, 1.0, 1.0]"
There exists a moderate correlation between high sugar intake and the development of type 2 diabetes in adults.,There does not exist a moderate correlation between high sugar intake and the development of type 2 diabetes in adults.,There exists a moderate correlation between high sugar intake and the development of type 2 diabetes in adults aged 30 to 50.,There exists a correlation between sugar intake and the development of type 2 diabetes.,0.85,0.22000000000000003,0.8099999999999999,0.8700000000000001,"[0.85, 0.85, 0.85, 0.85, 0.85]","[0.2, 0.2, 0.2, 0.3, 0.2]","[0.85, 0.85, 0.85, 0.75, 0.75]","[0.9, 0.85, 0.85, 0.85, 0.9]"
There is likely life on other planets in the universe.,There is not likely life on other planets in the universe.,There is likely complex life on planets similar to Earth in the habitable zones of their stars in the universe.,There is life on some planets in the universe.,0.68,0.5,0.5,0.54,"[0.7, 0.7, 0.6, 0.7, 0.7]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5, 0.7]"
The core of Jupiter consists of heavy elements.,The core of Jupiter does not consist of heavy elements.,The core of Jupiter consists primarily of heavy elements such as iron and nickel.,The core of Jupiter consists of elements.,0.8699999999999999,0.2,0.42000000000000004,0.9400000000000001,"[0.85, 0.85, 0.85, 0.9, 0.9]","[0.1, 0.2, 0.2, 0.3, 0.2]","[0.4, 0.4, 0.4, 0.6, 0.3]","[0.9, 0.95, 0.95, 0.95, 0.95]"
Cell phones are the most popular technology device in the world.,Cell phones are not the most popular technology device in the world.,Cell phones are the most popular technology device in the world among individuals aged 18 to 34.,Cell phones are a popular technology device in the world.,0.86,0.18,0.85,0.968,"[0.85, 0.85, 0.85, 0.9, 0.85]","[0.2, 0.2, 0.1, 0.2, 0.2]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.95, 0.99, 0.95, 0.95, 1.0]"
Most deep-sea life forms are already discovered and cataloged by marine biologists.,Most deep-sea life forms are not already discovered and cataloged by marine biologists.,Most deep-sea life forms larger than 1 meter are already discovered and cataloged by marine biologists.,Many deep-sea life forms are already discovered and cataloged by marine biologists.,0.2,0.85,0.48,0.79,"[0.2, 0.2, 0.2, 0.2, 0.2]","[0.85, 0.85, 0.85, 0.85, 0.85]","[0.4, 0.6, 0.4, 0.6, 0.4]","[0.85, 0.75, 0.75, 0.75, 0.85]"
More than 50% of adults worldwide own a smartphone.,Less than or equal to 50% of adults worldwide do not own a smartphone.,More than 50% of adults worldwide own a smartphone that supports 5G connectivity.,More than 50% of adults worldwide own a mobile device.,0.9200000000000002,0.74,0.38,0.95,"[0.95, 0.9, 0.9, 0.95, 0.9]","[0.8, 0.7, 0.7, 0.8, 0.7]","[0.4, 0.3, 0.4, 0.4, 0.4]","[0.95, 0.95, 0.95, 0.95, 0.95]"
"The building blocks of our universe are not matter and energy, but information.","The building blocks of our universe are matter and energy, not information.","The building blocks of our universe are not matter and energy, but information encoded in a specific quantum state.",The building blocks of our universe include information.,0.34,0.7899999999999998,0.4,0.74,"[0.3, 0.4, 0.4, 0.3, 0.3]","[0.85, 0.7, 0.8, 0.8, 0.8]","[0.4, 0.4, 0.3, 0.4, 0.5]","[0.7, 0.75, 0.75, 0.7, 0.8]"
More than 10% of the world's languages will cease to be spoken by the end of the 21st century.,Less than or equal to 10% of the world's languages will not cease to be spoken by the end of the 21st century.,More than 15% of the world's languages will cease to be spoken by the end of the 21st century.,Some of the world's languages will cease to be spoken by the end of the 21st century.,0.86,0.4,0.8,0.95,"[0.85, 0.85, 0.85, 0.9, 0.85]","[0.4, 0.8, 0.2, 0.3, 0.3]","[0.75, 0.8, 0.85, 0.85, 0.75]","[0.95, 0.95, 0.95, 0.95, 0.95]"
