original_claim,negation_claim,more_specific_claim,less_specific_claim,original_baseline,negation_baseline,more_specific_baseline,less_specific_baseline,original_baseline_scores,negation_baseline_scores,more_specific_baseline_scores,less_specific_baseline_scores
Bananas are the most popular fruit in the United States.,Bananas are not the most popular fruit in the United States.,Bananas are the most popular fruit in the United States among adults aged 18 to 34.,Bananas are a popular fruit in the United States.,0.666,0.514,0.56,0.686,"[0.7, 0.23, 0.8, 0.8, 0.8]","[0.3, 0.8, 0.3, 0.67, 0.5]","[0.75, 0.0, 0.75, 0.7, 0.6]","[0.63, 0.45, 0.85, 0.5, 1.0]"
There is an undiscovered planet in our solar system beyond Neptune.,There is not an undiscovered planet in our solar system beyond Neptune.,There is an undiscovered planet in our solar system beyond Neptune that is at least the size of Earth.,There is a planet in our solar system beyond Neptune.,0.52,0.47400000000000003,0.27199999999999996,0.756,"[0.5, 0.6, 0.5, 0.5, 0.5]","[0.25, 0.6, 0.8, 0.5, 0.22]","[0.0, 0.0, 0.46, 0.3, 0.6]","[0.99, 0.99, 0.9, 0.0, 0.9]"
There is extraterrestrial life in our solar system outside of Earth.,There is no extraterrestrial life in our solar system outside of Earth.,There is extraterrestrial microbial life in our solar system outside of Earth.,There is extraterrestrial life in our solar system.,0.4,0.6,0.49399999999999994,0.396,"[0.25, 0.2, 0.0, 0.7, 0.85]","[0.5, 0.75, 0.4, 0.65, 0.7]","[0.3, 0.87, 0.5, 0.3, 0.5]","[0.75, 0.4, 0.35, 0.48, 0.0]"
There is an undiscovered planet beyond Neptune in our solar system.,There is not an undiscovered planet beyond Neptune in our solar system.,There is an undiscovered planet beyond Neptune in our solar system that is at least the size of Earth.,There is a planet beyond Neptune in our solar system.,0.47000000000000003,0.21800000000000003,0.4800000000000001,0.322,"[0.5, 0.6, 0.0, 0.75, 0.5]","[0.0, 0.63, 0.0, 0.0, 0.46]","[0.35, 0.5, 0.75, 0.0, 0.8]","[0.3, 0.75, 0.0, 0.56, 0.0]"
Life exists on planets other than Earth within our own galaxy.,Life does not exist on planets other than Earth within our own galaxy.,Life exists on planets other than Earth within our own galaxy that are similar in size and atmosphere to Earth.,Life exists on planets other than Earth.,0.394,0.632,0.5279999999999999,0.4,"[0.5, 0.0, 0.6, 0.47, 0.4]","[0.0, 0.7, 1.0, 1.0, 0.46]","[0.84, 0.5, 0.5, 0.8, 0.0]","[0.5, 0.4, 0.5, 0.0, 0.6]"
Artificial sweeteners significantly contribute to weight gain in adults.,Artificial sweeteners do not significantly contribute to weight gain in adults.,Artificial sweeteners significantly contribute to weight gain in adults who consume them daily.,Artificial sweeteners contribute to weight gain in adults.,0.4,0.38,0.522,0.514,"[0.5, 0.0, 0.0, 0.5, 1.0]","[0.0, 0.0, 0.5, 0.7, 0.7]","[0.0, 0.75, 0.88, 0.68, 0.3]","[0.6, 0.0, 0.5, 0.77, 0.7]"
Dark matter is composed of axions.,Dark matter is not composed of axions.,Dark matter is composed exclusively of axions with a mass between 10^-6 eV and 10^-3 eV.,Dark matter is composed of some particles.,0.42000000000000004,0.34,0.5900000000000001,0.5700000000000001,"[0.7, 0.5, 0.5, 0.0, 0.4]","[0.0, 0.55, 0.4, 0.75, 0.0]","[0.8, 0.7, 0.2, 1.0, 0.25]","[1.0, 0.4, 0.5, 0.45, 0.5]"
There is life on planets outside our solar system.,There is no life on planets outside our solar system.,"There is complex, intelligent life on planets outside our solar system.",There is life on some planets outside our solar system.,0.476,0.45200000000000007,0.38999999999999996,0.488,"[0.0, 0.58, 0.4, 0.6, 0.8]","[0.5, 0.66, 0.5, 0.0, 0.6]","[0.35, 0.5, 0.7, 0.0, 0.4]","[0.5, 0.33, 0.38, 0.5, 0.73]"
Neanderthals had linguistic capabilities similar to modern humans.,Neanderthals did not have linguistic capabilities similar to modern humans.,Neanderthals had linguistic capabilities that were indistinguishable from those of modern humans.,Neanderthals had some form of communication.,0.364,0.592,0.48,0.6500000000000001,"[0.0, 0.32, 0.35, 0.5, 0.65]","[0.67, 0.5, 0.3, 0.5, 0.99]","[0.45, 0.7, 0.75, 0.0, 0.5]","[0.4, 0.95, 0.8, 0.5, 0.6]"
The planet Mars once harbored complex forms of life.,The planet Mars never harbored complex forms of life.,The planet Mars once harbored complex multicellular forms of life.,The planet Mars once harbored life.,0.6,0.6599999999999999,0.5720000000000001,0.6719999999999999,"[0.5, 0.5, 1.0, 1.0, 0.0]","[0.3, 0.82, 0.5, 0.73, 0.95]","[0.75, 0.6, 0.75, 0.0, 0.76]","[0.8, 0.5, 1.0, 0.68, 0.38]"
Venus has microbial life in its upper atmosphere.,Venus does not have microbial life in its upper atmosphere.,Venus has microbial life in its upper atmosphere that can survive extreme temperatures and high acidity.,Venus has some form of life in its atmosphere.,0.24,0.32,0.55,0.5,"[0.0, 0.0, 0.5, 0.0, 0.7]","[0.0, 0.4, 0.0, 0.7, 0.5]","[0.5, 0.4, 0.75, 0.6, 0.5]","[1.0, 0.5, 0.5, 0.5, 0.0]"
Einstein's theory of relativity is incomplete.,Einstein's theory of relativity is complete.,Einstein's theory of relativity is incomplete in its ability to fully explain gravitational interactions at the quantum level.,Einstein's theory of relativity has limitations.,0.23200000000000004,0.3,0.5900000000000001,0.662,"[0.0, 0.76, 0.0, 0.4, 0.0]","[0.5, 0.0, 0.4, 0.0, 0.6]","[0.7, 0.5, 0.0, 0.75, 1.0]","[0.75, 0.66, 0.6, 0.7, 0.6]"
The presence of microbial life exists on Mars.,The presence of microbial life does not exist on Mars.,The presence of complex microbial life exists on Mars.,The presence of microbial life might exist on other planets.,0.442,0.4600000000000001,0.35,0.596,"[0.69, 0.0, 0.33, 0.2, 0.99]","[0.5, 0.5, 0.66, 0.64, 0.0]","[0.3, 0.75, 0.7, 0.0, 0.0]","[0.78, 0.7, 0.0, 0.75, 0.75]"
The nature of dark matter is composed of Weakly Interacting Massive Particles (WIMPs).,The nature of dark matter is not composed of Weakly Interacting Massive Particles (WIMPs).,The nature of dark matter is exclusively composed of Weakly Interacting Massive Particles (WIMPs) and no other particles.,The nature of dark matter is composed of some type of particles.,0.28600000000000003,0.41,0.466,0.55,"[0.75, 0.0, 0.0, 0.0, 0.68]","[0.95, 0.0, 0.75, 0.35, 0.0]","[0.7, 0.5, 0.73, 0.4, 0.0]","[0.5, 0.5, 0.75, 0.4, 0.6]"
There exists a potentially habitable exoplanet within 10 light years of Earth.,There does not exist a potentially habitable exoplanet within 10 light years of Earth.,There exists a potentially habitable exoplanet within 10 light years of Earth that has a similar atmosphere to that of Earth.,There exists a potentially habitable exoplanet within a reasonable distance from Earth.,0.3,0.49800000000000005,0.674,0.38,"[0.5, 0.0, 0.0, 0.4, 0.6]","[0.4, 0.99, 0.45, 0.0, 0.65]","[0.75, 0.45, 0.8, 0.5, 0.87]","[0.5, 0.0, 0.4, 0.5, 0.5]"
Neanderthals had the ability to create and use language similar to modern humans.,Neanderthals did not have the ability to create and use language similar to modern humans.,Neanderthals had the ability to create and use complex language systems similar to modern humans.,Neanderthals had the ability to communicate.,0.29000000000000004,0.646,0.312,0.28,"[0.0, 0.3, 0.0, 0.5, 0.65]","[0.75, 0.0, 0.99, 0.7, 0.79]","[0.76, 0.0, 0.0, 0.5, 0.3]","[0.0, 0.0, 0.6, 0.5, 0.3]"
The gene responsible for Huntington's disease also plays a significant role in promoting overall brain health.,The gene responsible for Huntington's disease does not play a significant role in promoting overall brain health.,The gene responsible for Huntington's disease significantly impairs overall brain health in individuals who carry the mutation.,The gene responsible for Huntington's disease plays a role in brain health.,0.4779999999999999,0.43599999999999994,0.322,0.5840000000000001,"[0.2, 0.73, 0.26, 0.7, 0.5]","[0.0, 0.3, 0.38, 0.5, 1.0]","[0.5, 0.55, 0.56, 0.0, 0.0]","[0.5, 0.0, 0.83, 0.99, 0.6]"
Pulsars are powered by a reserve of thermal energy.,Pulsars are not powered by a reserve of thermal energy.,Pulsars are powered by a reserve of thermal energy that lasts for at least a million years.,Pulsars are powered by energy.,0.53,0.25,0.6859999999999999,0.25,"[0.65, 0.65, 0.75, 0.6, 0.0]","[0.0, 0.0, 0.0, 0.5, 0.75]","[0.78, 0.5, 0.7, 0.95, 0.5]","[0.5, 0.75, 0.0, 0.0, 0.0]"
Exoplanets in the habitable zone of their star system may contain liquid water.,Exoplanets in the habitable zone of their star system may not contain liquid water.,Exoplanets in the habitable zone of their star system may contain liquid water if they have a similar atmospheric composition to Earth.,Exoplanets in the habitable zone of their star system can theoretically contain liquid water.,0.45,0.45999999999999996,0.53,0.548,"[0.7, 0.25, 0.8, 0.0, 0.5]","[0.8, 0.5, 0.0, 0.5, 0.5]","[0.5, 0.8, 0.7, 0.65, 0.0]","[0.74, 0.5, 0.5, 0.5, 0.5]"
"The Toba Catastrophe Theory, which states that a supervolcanic event significantly reduced the global human population about 70,000 years ago, is correct.","The Toba Catastrophe Theory, which states that a supervolcanic event significantly reduced the global human population about 70,000 years ago, is not correct.","The Toba Catastrophe Theory, which states that a supervolcanic event significantly reduced the global human population by at least 50% about 70,000 years ago, is correct.",The Toba Catastrophe Theory that a supervolcanic event reduced the global human population is true.,0.518,0.638,0.346,0.576,"[0.4, 0.7, 0.0, 0.6, 0.89]","[0.86, 0.7, 0.5, 0.5, 0.63]","[0.0, 0.5, 0.5, 0.0, 0.73]","[0.3, 0.7, 0.48, 0.9, 0.5]"
Chloroquine is effective at treating patients with moderate to severe COVID-19 illness.,Chloroquine is not effective at treating patients with moderate to severe COVID-19 illness.,Chloroquine is effective at treating patients with moderate to severe COVID-19 illness who are under 60 years old and do not have pre-existing health conditions.,Chloroquine is effective at treating patients with COVID-19 illness.,0.612,0.366,0.596,0.36,"[0.63, 0.8, 0.4, 0.33, 0.9]","[0.5, 0.0, 1.0, 0.33, 0.0]","[1.0, 0.75, 0.73, 0.0, 0.5]","[0.4, 0.0, 0.5, 0.4, 0.5]"
Caffeine significantly contributes to chronic migraines.,Caffeine does not significantly contribute to chronic migraines.,Caffeine significantly contributes to chronic migraines in individuals who consume more than 400 mg per day.,Caffeine contributes to migraines.,0.246,0.27999999999999997,0.7060000000000001,0.64,"[0.3, 0.5, 0.2, 0.0, 0.23]","[0.0, 0.5, 0.5, 0.0, 0.4]","[0.75, 0.73, 0.5, 0.75, 0.8]","[1.0, 1.0, 0.2, 1.0, 0.0]"
There may be undiscovered forms of life on Mars.,There are no undiscovered forms of life on Mars.,There may be undiscovered complex multicellular forms of life on Mars.,There may be undiscovered forms of life in the Milky Way galaxy.,0.5880000000000001,0.39,0.524,0.384,"[0.0, 1.0, 0.64, 0.3, 1.0]","[0.6, 0.6, 0.5, 0.0, 0.25]","[0.5, 0.6, 0.32, 0.4, 0.8]","[0.67, 0.45, 0.0, 0.5, 0.3]"
Life exists on planets outside of our solar system.,Life does not exist on planets outside of our solar system.,Life exists on planets outside of our solar system that have conditions similar to Earth.,Life exists on some planets outside of our solar system.,0.506,0.64,0.596,0.574,"[0.3, 0.5, 0.0, 1.0, 0.73]","[0.36, 0.84, 0.5, 0.5, 1.0]","[0.75, 0.8, 0.46, 0.3, 0.67]","[0.0, 0.87, 0.6, 0.75, 0.65]"
Dark matter consists of weakly interacting massive particles (WIMPs).,Dark matter does not consist of weakly interacting massive particles (WIMPs).,Dark matter consists exclusively of weakly interacting massive particles (WIMPs) and no other types of particles.,Dark matter consists of some type of particles.,0.74,0.568,0.45999999999999996,0.58,"[1.0, 0.8, 0.5, 0.5, 0.9]","[0.99, 0.5, 0.85, 0.5, 0.0]","[0.5, 0.5, 0.55, 0.0, 0.75]","[0.5, 0.5, 1.0, 0.4, 0.5]"
Dietary cholesterol contributes to the development of cardiovascular disease.,Dietary cholesterol does not contribute to the development of cardiovascular disease.,Dietary cholesterol significantly contributes to the development of cardiovascular disease in individuals with a genetic predisposition to hypercholesterolemia.,Dietary cholesterol contributes to health issues.,0.49000000000000005,0.6,0.45,0.36,"[0.75, 0.35, 0.35, 1.0, 0.0]","[0.5, 1.0, 1.0, 0.0, 0.5]","[0.5, 0.8, 0.55, 0.4, 0.0]","[0.5, 0.5, 0.0, 0.8, 0.0]"
Extraterrestrial life exists somewhere in the universe.,Extraterrestrial life does not exist anywhere in the universe.,"Extraterrestrial life exists somewhere in the universe, specifically on a planet within the habitable zone of a star similar to our Sun.",Extraterrestrial life exists.,0.512,0.5900000000000001,0.3,0.44000000000000006,"[0.5, 0.0, 0.5, 1.0, 0.56]","[0.0, 0.8, 0.75, 0.7, 0.7]","[0.4, 0.0, 0.5, 0.6, 0.0]","[0.0, 0.8, 0.0, 0.7, 0.7]"
The Tyrannosaurus Rex had feathers.,The Tyrannosaurus Rex did not have feathers.,The Tyrannosaurus Rex had feathers covering at least 50% of its body.,Some dinosaurs had feathers.,0.7060000000000001,0.48200000000000004,0.438,0.51,"[1.0, 0.99, 1.0, 0.54, 0.0]","[0.66, 0.5, 0.65, 0.6, 0.0]","[0.5, 0.8, 0.89, 0.0, 0.0]","[0.8, 0.5, 0.6, 0.65, 0.0]"
Dinosaurs were warm-blooded like modern birds.,Dinosaurs were not warm-blooded like modern birds.,All theropod dinosaurs were warm-blooded like modern birds.,Dinosaurs were warm-blooded.,0.61,0.472,0.51,0.36,"[0.4, 0.75, 0.6, 0.9, 0.4]","[0.0, 0.8, 0.66, 0.5, 0.4]","[0.5, 0.0, 0.8, 0.6, 0.65]","[0.2, 0.0, 0.8, 0.8, 0.0]"
Dark matter is composed primarily of non-baryonic particles.,Dark matter is not composed primarily of non-baryonic particles.,Dark matter is composed primarily of non-baryonic particles that do not interact via electromagnetic forces.,Dark matter is composed of some types of particles.,0.5700000000000001,0.47400000000000003,0.48,0.7,"[0.5, 0.95, 0.5, 0.4, 0.5]","[0.5, 0.67, 0.5, 0.0, 0.7]","[0.3, 0.5, 0.6, 0.5, 0.5]","[0.8, 0.9, 0.5, 0.5, 0.8]"
Neanderthals have the ability to speak like modern humans.,Neanderthals do not have the ability to speak like modern humans.,Neanderthals have the ability to speak with a vocabulary comparable to that of modern humans.,Neanderthals have some form of communication.,0.5200000000000001,0.13999999999999999,0.45599999999999996,0.476,"[0.4, 0.8, 0.85, 0.0, 0.55]","[0.2, 0.5, 0.0, 0.0, 0.0]","[0.6, 0.58, 0.0, 0.5, 0.6]","[0.6, 0.8, 0.48, 0.5, 0.0]"
The genetic material of an organism primarily controls its phenotypic traits.,The genetic material of an organism does not primarily control its phenotypic traits.,The genetic material of an organism primarily controls its phenotypic traits in a way that is significantly influenced by environmental factors.,The genetic material of an organism influences its phenotypic traits.,0.868,0.49000000000000005,0.41000000000000003,0.556,"[1.0, 0.8, 0.99, 0.75, 0.8]","[0.0, 0.5, 0.75, 0.7, 0.5]","[0.4, 0.85, 0.35, 0.45, 0.0]","[0.33, 0.8, 0.65, 0.5, 0.5]"
Regular physical exercise increases cognitive function in adults.,Regular physical exercise does not increase cognitive function in adults.,Regular physical exercise increases cognitive function in adults aged 30 to 50.,Regular physical activity increases cognitive function.,0.726,0.35,0.41000000000000003,0.27,"[0.9, 0.76, 0.67, 0.3, 1.0]","[0.0, 0.7, 0.3, 0.25, 0.5]","[0.0, 0.7, 0.5, 0.4, 0.45]","[0.0, 0.0, 0.75, 0.6, 0.0]"
Vitamin D supplementation reduces the risk of acute respiratory tract infection.,Vitamin D supplementation does not reduce the risk of acute respiratory tract infection.,Vitamin D supplementation reduces the risk of acute respiratory tract infection by at least 30% in individuals with low baseline levels of vitamin D.,Vitamin D supplementation reduces the risk of infection.,0.604,0.516,0.53,0.71,"[0.5, 0.5, 0.5, 0.67, 0.85]","[0.69, 0.0, 0.82, 0.32, 0.75]","[0.35, 0.7, 0.6, 0.4, 0.6]","[0.9, 0.6, 0.6, 0.75, 0.7]"
The rate of star formation in the universe has significantly decreased over the past 11 billion years.,The rate of star formation in the universe has not significantly decreased over the past 11 billion years.,The rate of star formation in the universe has significantly decreased by at least 50% over the past 11 billion years.,The rate of star formation in the universe has changed over the past 11 billion years.,0.336,0.646,0.5700000000000001,0.628,"[0.0, 0.35, 0.73, 0.6, 0.0]","[0.5, 0.75, 0.85, 0.4, 0.73]","[0.5, 0.45, 0.4, 1.0, 0.5]","[0.5, 0.99, 0.75, 0.9, 0.0]"
Water vapor is the largest contributor to the Earth's greenhouse effect.,Water vapor is not the largest contributor to the Earth's greenhouse effect.,"Water vapor is the largest contributor to the Earth's greenhouse effect, accounting for at least 70% of the total greenhouse effect.",Water vapor contributes to the Earth's greenhouse effect.,0.5900000000000001,0.53,0.664,0.6119999999999999,"[0.75, 0.7, 0.7, 0.0, 0.8]","[0.6, 0.75, 0.8, 0.5, 0.0]","[0.78, 0.8, 0.7, 0.34, 0.7]","[0.85, 0.66, 0.75, 0.8, 0.0]"
"The human body contains more bacterial cells than human cells.
",The human body does not contain more bacterial cells than human cells.,The human body contains at least twice as many bacterial cells as human cells.,The human body contains a significant number of bacterial cells.,0.23600000000000004,0.64,0.632,0.29,"[0.0, 0.5, 0.0, 0.0, 0.68]","[0.85, 0.6, 0.8, 0.95, 0.0]","[0.55, 0.7, 0.66, 0.5, 0.75]","[0.75, 0.0, 0.0, 0.7, 0.0]"
"The Voynich Manuscript was intentionally created as a complex hoax in the 15th century by a single individual, with no meaningful content, simply to perplex and amuse others.","The Voynich Manuscript was not intentionally created as a complex hoax in the 15th century by a single individual, with meaningful content, simply to perplex and amuse others.","The Voynich Manuscript was intentionally created as a complex hoax in the 15th century by a single individual, with no meaningful content, simply to perplex and amuse scholars and intellectuals of that era.","The Voynich Manuscript was created in the 15th century by someone, with the intention of perplexing others.",0.32,0.532,0.25,0.61,"[0.0, 0.0, 0.3, 0.5, 0.8]","[0.66, 0.75, 0.5, 0.75, 0.0]","[0.0, 0.5, 0.0, 0.5, 0.25]","[0.5, 0.5, 0.8, 0.5, 0.75]"
Leonardo da Vinci had the knowledge and means to construct a working prototype of a flying machine during his lifetime.,Leonardo da Vinci did not have the knowledge and means to construct a working prototype of a flying machine during his lifetime.,Leonardo da Vinci had the knowledge and means to construct a working prototype of a flying machine that could carry a human during his lifetime.,Leonardo da Vinci had the knowledge to explore the concept of a flying machine during his lifetime.,0.466,0.30999999999999994,0.16,0.65,"[0.0, 0.6, 0.85, 0.33, 0.55]","[0.35, 0.0, 0.6, 0.6, 0.0]","[0.0, 0.0, 0.5, 0.3, 0.0]","[0.6, 0.75, 0.6, 0.5, 0.8]"
Leonardo da Vinci used mirror writing because he wanted to keep his ideas secret from the general public.,Leonardo da Vinci did not use mirror writing because he wanted to keep his ideas secret from the general public.,Leonardo da Vinci used mirror writing exclusively to keep his ideas secret from the general public.,Leonardo da Vinci used mirror writing.,0.5740000000000001,0.67,0.44000000000000006,0.64,"[0.4, 1.0, 0.5, 0.5, 0.47]","[0.7, 0.75, 0.75, 0.75, 0.4]","[0.0, 0.56, 0.64, 1.0, 0.0]","[0.8, 0.0, 0.9, 1.0, 0.5]"
The Hanging Gardens of Babylon were actually located in the city of Nineveh.,The Hanging Gardens of Babylon were not actually located in the city of Nineveh.,The Hanging Gardens of Babylon were actually located in the city of Nineveh and were built during the reign of King Sennacherib.,The Hanging Gardens of Babylon were located in a city in ancient Mesopotamia.,0.788,0.22000000000000003,0.38,0.38,"[1.0, 0.89, 0.9, 0.65, 0.5]","[0.0, 0.6, 0.5, 0.0, 0.0]","[0.75, 0.0, 0.0, 0.5, 0.65]","[0.7, 0.0, 0.0, 0.7, 0.5]"
"The Lost Colony of Roanoke relocated to join a nearby Native American tribe, integrating with them.","The Lost Colony of Roanoke did not relocate to join a nearby Native American tribe, integrating with them.","The Lost Colony of Roanoke relocated to join a specific nearby Native American tribe, the Croatan, integrating with them and adopting their customs.",The Lost Colony of Roanoke may have relocated to join a nearby Native American tribe.,0.22599999999999998,0.47400000000000003,0.10800000000000001,0.446,"[0.5, 0.63, 0.0, 0.0, 0.0]","[0.5, 0.3, 0.4, 0.7, 0.47]","[0.0, 0.54, 0.0, 0.0, 0.0]","[0.5, 0.45, 0.48, 0.5, 0.3]"
Vincent van Gogh's ear was cut off by Paul Gauguin during a confrontation and not by van Gogh himself.,"""Vincent van Gogh's ear was not cut off by Paul Gauguin during a confrontation and was cut off by van Gogh himself.""",Vincent van Gogh's ear was cut off by Paul Gauguin during a violent confrontation in which Gauguin threatened van Gogh with a weapon.,Vincent van Gogh's ear was cut off during a confrontation.,0.5439999999999999,0.534,0.566,0.346,"[0.95, 0.37, 0.7, 0.0, 0.7]","[0.66, 0.45, 0.5, 0.5, 0.56]","[0.63, 0.75, 0.3, 0.75, 0.4]","[0.73, 0.23, 0.77, 0.0, 0.0]"
Cleopatra VII was fluent in nine languages.,Cleopatra VII was not fluent in nine languages.,"Cleopatra VII was fluent in nine specific languages, including Greek and Egyptian.",Cleopatra VII was fluent in several languages.,0.286,0.47000000000000003,0.22999999999999998,0.49000000000000005,"[0.0, 0.0, 0.43, 0.5, 0.5]","[0.7, 0.0, 0.43, 0.6, 0.62]","[0.7, 0.45, 0.0, 0.0, 0.0]","[0.75, 0.0, 0.4, 0.8, 0.5]"
Amelia Earhart was captured by Japanese forces after her plane crashed in the Pacific.,Amelia Earhart was not captured by Japanese forces after her plane crashed in the Pacific.,Amelia Earhart was captured by Japanese forces after her plane crashed in the Pacific and was held in a secret military facility.,Amelia Earhart's plane crashed in the Pacific.,0.6779999999999999,0.536,0.49400000000000005,0.38,"[0.43, 0.82, 0.75, 0.4, 0.99]","[0.5, 0.4, 0.8, 0.35, 0.63]","[0.5, 0.64, 0.33, 0.5, 0.5]","[0.0, 0.75, 0.5, 0.0, 0.65]"
Henry VIII considered rejoining the Catholic Church later in his reign.,Henry VIII did not consider rejoining the Catholic Church later in his reign.,Henry VIII considered rejoining the Catholic Church in the last year of his reign.,Henry VIII considered rejoining the Catholic Church.,0.358,0.506,0.6300000000000001,0.42800000000000005,"[0.5, 0.4, 0.89, 0.0, 0.0]","[0.0, 0.75, 0.4, 0.88, 0.5]","[0.5, 0.5, 0.6, 0.8, 0.75]","[0.34, 0.8, 0.5, 0.0, 0.5]"
Leonardo da Vinci had plans for a flying machine that could have potentially worked if constructed with modern materials.,Leonardo da Vinci did not have plans for a flying machine that could have potentially worked if constructed with modern materials.,Leonardo da Vinci had detailed plans for a flying machine that could have potentially worked if constructed with modern lightweight materials and advanced engineering techniques.,Leonardo da Vinci had plans for a flying machine.,0.354,0.45,0.384,0.688,"[0.0, 0.43, 0.0, 0.4, 0.94]","[0.5, 0.8, 0.5, 0.45, 0.0]","[0.6, 0.72, 0.6, 0.0, 0.0]","[1.0, 0.5, 0.44, 0.5, 1.0]"
Christopher Marlowe was a secret government agent.,Christopher Marlowe was not a secret government agent.,Christopher Marlowe was a secret government agent working for the English government during the late 16th century.,Christopher Marlowe was involved in government activities.,0.44000000000000006,0.266,0.296,0.504,"[0.6, 0.5, 0.5, 0.6, 0.0]","[0.5, 0.0, 0.33, 0.5, 0.0]","[0.4, 0.0, 0.43, 0.0, 0.65]","[0.5, 0.0, 0.6, 0.75, 0.67]"
Julius Caesar considered invading Ireland.,Julius Caesar did not consider invading Ireland.,Julius Caesar seriously considered invading Ireland during his military campaigns in Gaul.,Julius Caesar considered invading other territories.,0.40800000000000003,0.31199999999999994,0.41000000000000003,0.666,"[0.32, 0.83, 0.44, 0.25, 0.2]","[0.86, 0.0, 0.0, 0.5, 0.2]","[0.4, 0.5, 0.0, 0.8, 0.35]","[0.98, 0.8, 0.95, 0.0, 0.6]"
Julius Caesar considered invading Ireland before his assassination in 44 BC.,Julius Caesar did not consider invading Ireland before his assassination in 44 BC.,Julius Caesar considered invading Ireland with a detailed military plan before his assassination in 44 BC.,Julius Caesar considered invading Ireland.,0.5519999999999999,0.6920000000000001,0.7040000000000001,0.434,"[0.5, 0.5, 0.9, 0.44, 0.42]","[0.5, 0.56, 0.8, 0.75, 0.85]","[0.7, 0.84, 0.5, 0.78, 0.7]","[0.77, 0.0, 0.6, 0.8, 0.0]"
Vikings used sunstones for navigation during cloudy or foggy weather.,Vikings did not use sunstones for navigation during cloudy or foggy weather.,Vikings used sunstones for navigation during cloudy or foggy weather in northern latitudes.,Vikings used tools for navigation during cloudy or foggy weather.,0.52,0.534,0.632,0.16,"[0.25, 0.0, 0.75, 0.8, 0.8]","[0.0, 0.63, 0.3, 0.75, 0.99]","[0.6, 0.86, 0.5, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.8]"
Julius Caesar considered adopting Octavian as his son due to a prophetic dream he had.,Julius Caesar did not consider adopting Octavian as his son due to a prophetic dream he had.,Julius Caesar considered adopting Octavian as his son due to a specific prophetic dream he had about Octavian leading Rome to greatness.,Julius Caesar considered adopting Octavian as his son.,0.4,0.40599999999999997,0.6199999999999999,0.45999999999999996,"[0.5, 0.34, 0.46, 0.4, 0.3]","[0.0, 0.57, 0.3, 0.5, 0.66]","[0.85, 0.8, 0.75, 0.0, 0.7]","[0.8, 1.0, 0.5, 0.0, 0.0]"
Christopher Columbus was primarily motivated by the pursuit of wealth when he embarked on his voyages to the New World.,Christopher Columbus was not primarily motivated by the pursuit of wealth when he embarked on his voyages to the New World.,"Christopher Columbus was primarily motivated by the pursuit of wealth, specifically gold and precious metals, when he embarked on his voyages to the New World.",Christopher Columbus was motivated by the pursuit of wealth when he embarked on his voyages to the New World.,0.35,0.44600000000000006,0.6199999999999999,0.27,"[0.0, 0.79, 0.48, 0.0, 0.48]","[0.0, 0.5, 0.68, 0.3, 0.75]","[0.75, 0.98, 0.42, 0.95, 0.0]","[0.5, 0.85, 0.0, 0.0, 0.0]"
Julius Caesar may have survived the Ides of March had he heeded the warnings given to him.,Julius Caesar could not have survived the Ides of March even if he had heeded the warnings given to him.,Julius Caesar may have survived the Ides of March had he heeded the specific warnings given to him by at least three trusted advisors.,Julius Caesar might have survived the Ides of March if he had heeded warnings.,0.254,0.32399999999999995,0.52,0.542,"[0.27, 0.5, 0.0, 0.5, 0.0]","[0.0, 0.0, 0.8, 0.6, 0.22]","[0.2, 0.8, 0.5, 0.3, 0.8]","[0.75, 0.65, 0.0, 0.55, 0.76]"
The Viking presence in North America extended beyond the site at L'Anse aux Meadows.,The Viking presence in North America did not extend beyond the site at L'Anse aux Meadows.,The Viking presence in North America extended beyond the site at L'Anse aux Meadows to multiple undiscovered settlements along the northeastern coast.,The Viking presence in North America extended to at least one other site.,0.48599999999999993,0.6359999999999999,0.536,0.38,"[0.5, 0.73, 0.7, 0.5, 0.0]","[0.79, 0.83, 0.76, 0.0, 0.8]","[0.3, 0.6, 0.7, 0.48, 0.6]","[0.5, 0.0, 0.7, 0.7, 0.0]"
Julius Caesar was assassinated primarily because of his policies rather than personal jealousy among the senators.,Julius Caesar was not assassinated primarily because of his policies rather than personal jealousy among the senators.,"Julius Caesar was assassinated primarily because of his controversial policies regarding land reform and debt relief, rather than personal jealousy among the senators.",Julius Caesar was assassinated for various reasons.,0.336,0.604,0.5159999999999999,0.708,"[0.4, 0.0, 0.78, 0.0, 0.5]","[0.53, 0.8, 0.5, 0.69, 0.5]","[0.75, 0.7, 0.73, 0.4, 0.0]","[0.75, 0.66, 0.87, 0.5, 0.76]"
"The Voynich Manuscript was created in the 15th century as a complex puzzle or code for a specific, yet unknown, purpose.","The Voynich Manuscript was not created in the 15th century as a complex puzzle or code for a specific, yet unknown, purpose.",The Voynich Manuscript was created in the 15th century as a complex puzzle or code specifically designed to conceal advanced scientific knowledge from a select group of scholars.,The Voynich Manuscript was created in the 15th century.,0.5599999999999999,0.43,0.48600000000000004,0.522,"[0.5, 0.58, 0.57, 0.65, 0.5]","[0.75, 0.0, 0.0, 0.4, 1.0]","[0.3, 0.33, 0.8, 0.5, 0.5]","[0.0, 1.0, 0.75, 0.0, 0.86]"
